3-24	2018/12/4	2018	12	4	1.290322581	27	34.84
9-42	2018/7/10	2018	7	10	1.290322581	21	27.10
1-53	2017/8/21	2017	8	21	1.290322581	10	12.90
1-56	2017/11/30	2017	11	30	1.333333333	0	0.00
1-59	2017/12/8	2017	12	8	1.290322581	23	29.68
1-60	2018/5/31	2018	5	31	1.290322581	0	0.00
1-43	2017/12/31	2017	12	31	1.290322581	0	0.00
1-44	2017/12/31	2017	12	31	1.290322581	0	0.00
1-40	2017/12/5	2017	12	5	1.290322581	26	33.55
1-50	2018/8/30	2018	8	30	1.290322581	1	1.29
1-03	2018/9/30	2018	9	30	1.333333333	0	0.00
1-52	2017/9/30	2017	9	30	1.333333333	0	0.00
9-77							
1-39	2017/11/30	2017	11	30	1.333333333	0	0.00
1-51	2017/11/30	2017	11	30	1.333333333	0	0.00
1-61	2017/11/30	2017	11	30	1.333333333	0	0.00
1-30	2018/9/30	2018	9	30	1.333333333	0	0.00
8-44	2018/1/4	2018	1	4	1.290322581	27	34.84
1-42	2018/9/15	2018	9	15	1.333333333	15	20.00
1-45	2018/9/30	2018	9	30	1.333333333	0	0.00
1-48	2017/12/31	2017	12	31	1.290322581	0	0.00
1-49	2018/5/2	2018	5	2	1.290322581	29	37.42
1-36	2018/4/30	2018	4	30	1.333333333	0	0.00
1-35	2018/3/6	2018	3	6	1.290322581	25	32.26
2-35	2018/9/30	2018	9	30	1.333333333	0	0.00
2-07	2018/9/30	2018	9	30	1.333333333	0	0.00
2-49	2017/12/31	2017	12	31	1.290322581	0	0.00
2-36	2017/11/30	2017	11	30	1.333333333	0	0.00
8-26							
2-31	2019/3/5	2019	3	5	1.290322581	26	33.55
2-34	2018/1/5	2018	1	5	1.290322581	26	33.55
2-37	2017/11/30	2017	11	30	1.333333333	0	0.00
3-04	2017/11/30	2017	11	30	1.333333333	0	0.00
2-08	2018/11/30	2018	11	30	1.333333333	0	0.00
2-50	2018/4/13	2018	4	13	1.333333333	17	22.67
2-02	2018/5/22	2018	5	22	1.290322581	9	11.61
9-60	2018/6/22	2018	6	22	1.333333333	8	10.67
2-09	2017/12/31	2017	12	31	1.290322581	0	0.00
2-15	2018/5/31	2018	5	31	1.290322581	0	0.00
2-10	2017/12/31	2017	12	31	1.290322581	0	0.00
2-32	2017/12/31	2017	12	31	1.290322581	0	0.00
3-21	2018/7/31	2018	7	31	1.290322581	0	0.00
3-22	2018/7/31	2018	7	31	1.290322581	0	0.00
2-43							
2-38	2019/4/20	2019	4	20	1.333333333	10	13.33
2-19	2018/6/30	2018	6	30	1.333333333	0	0.00
2-06	2017/11/30	2017	11	30	1.333333333	0	0.00
2-39	2017/11/4	2017	11	4	1.333333333	26	34.67
2-48	2017/12/31	2017	12	31	1.290322581	0	0.00
2-21	2018/3/2	2018	3	2	1.290322581	29	37.42
2-22	2018/7/20	2018	7	20	1.290322581	11	14.19
2-03	2017/11/30	2017	11	30	1.333333333	0	0.00
2-11	2017/11/30	2017	11	30	1.333333333	0	0.00
2-40	2017/12/10	2017	12	10	1.290322581	21	27.10
2-41	2018/7/2	2018	7	2	1.290322581	29	37.42
之江公寓3							
9-54	2018/4/10	2018	4	10	1.333333333	20	26.67
9-55	2018/4/10	2018	4	10	1.333333333	20	26.67
4-20							
2-14	2017/12/31	2017	12	31	1.290322581	0	0.00
2-13	2017/11/30	2017	11	30	1.333333333	0	0.00
2-30	2018/9/30	2018	9	30	1.333333333	0	0.00
2-18	2018/4/6	2018	4	6	1.333333333	24	32.00
3-03	2018/2/28	2018	2	28	1.428571429	0	0.00
2-01	2017/11/30	2017	11	30	1.333333333	0	0.00
2-16	2018/5/31	2018	5	31	1.290322581	0	0.00
2-33	2018/9/30	2018	9	30	1.333333333	0	0.00
3-02	2017/12/31	2017	12	31	1.290322581	0	0.00
3-30							
之江公寓4	2018/4/13	2018	4	13	1.333333333	17	22.67
3-26	2017/11/30	2017	11	30	1.333333333	0	0.00
3-12							
3-09	2017/11/30	2017	11	30	1.333333333	0	0.00
3-11	2018/3/9	2018	3	9	1.290322581	22	28.39
3-05	2018/5/31	2018	5	31	1.290322581	0	0.00
3-14	2018/1/31	2018	1	31	1.290322581	0	0.00
3-23	2018/9/30	2018	9	30	1.333333333	0	0.00
3-13	2018/3/31	2018	3	31	1.290322581	0	0.00
4-03	2017/11/30	2017	11	30	1.333333333	0	0.00
4-25	2017/11/30	2017	11	30	1.333333333	0	0.00
4-26	2017/11/30	2017	11	30	1.333333333	0	0.00
4-10	2017/12/6	2017	12	6	1.290322581	25	32.26
7-33							
4-01							
4-08							
7-32	2018/9/30	2018	9	30	1.333333333	0	0.00
4-22	2019/4/19	2019	4	19	1.333333333	11	14.67
4-27	2018/4/19	2018	4	19	1.333333333	11	14.67
4-05	2017/11/30	2017	11	30	1.333333333	0	0.00
4-21	2017/11/30	2017	11	30	1.333333333	0	0.00
4-02	2019/6/19	2019	6	19	1.333333333	11	14.67
4-04							
7-34	2018/10/20	2018	10	20	1.290322581	11	14.19
4-11	2018/8/14	2018	8	14	1.290322581	17	21.94
4-11b	2018/8/14	2018	8	14	1.290322581	17	21.94
5-16							
5-17							
7-02							
5-14	2018/4/30	2018	4	30	1.333333333	0	0.00
5-09							
6-60							
5-19	2018/3/15	2018	3	15	1.290322581	16	20.65
5-12	2018/4/4	2018	4	4	1.333333333	26	34.67
5-23	2017/11/30	2017	11	30	1.333333333	0	0.00
4-06	2018/6/17	2018	6	17	1.333333333	13	17.33
5-21							
5-20	2017/11/30	2017	11	30	1.333333333	0	0.00
5-05	2018/9/30	2018	9	30	1.333333333	0	0.00
6-65	2019/3/14	2019	3	14	1.290322581	17	21.94
6-22	2019/3/12	2019	3	12	1.290322581	19	24.52
6-37							
6-06	2017/11/30	2017	11	30	1.333333333	0	0.00
7-74	2019/4/4	2019	4	4	1.333333333	26	34.67
6-59	2018/4/16	2018	4	16	1.333333333	14	18.67
6-61							
6-11	2018/5/28	2018	5	28	1.290322581	3	3.87
6-34	2017/12/30	2017	12	30	1.290322581	1	1.29
6-35	2018/2/13	2018	2	13	1.428571429	15	21.43
4-23	2018/4/30	2018	4	30	1.333333333	0	0.00
4-24	2018/4/10	2018	4	10	1.333333333	20	26.67
7-35							
7-36							
6-08							
6-05	2018/3/8	2018	3	8	1.290322581	23	29.68
5-22	2019/3/14	2019	3	14	1.290322581	17	21.94
6-64							
7-60	2018/7/31	2018	7	31	1.290322581	0	0.00
7-03	2018/9/15	2018	9	15	1.333333333	15	20.00
8-49	2018/7/14	2018	7	14	1.290322581	17	21.94
6-31							
9-17							
6-10	2017/11/29	2017	11	29	1.333333333	1	1.33
6-62	2018/3/20	2018	3	20	1.290322581	11	14.19
6-63							
6-09	2017/11/30	2017	11	30	1.333333333	0	0.00
6-25							
6-36							
6-04	2017/11/30	2017	11	30	1.333333333	0	0.00
5-10							
5-11							
8-59							
6-03	2017/12/31	2017	12	31	1.290322581	0	0.00
6-38	2017/11/30	2017	11	30	1.333333333	0	0.00
6-39	2017/11/30	2017	11	30	1.333333333	0	0.00
6-40							
6-41							
6-42							
6-02	2018/9/30	2018	9	30	1.333333333	0	0.00
7-75							
5-15	2018/5/19	2018	5	19	1.290322581	12	15.48
5-18	2018/5/19	2018	5	19	1.290322581	12	15.48
7-19	2018/5/16	2018	5	16	1.290322581	15	19.35
6-07	2017/12/22	2017	12	22	1.290322581	9	11.61
7-49	2018/4/24	2018	4	24	1.333333333	6	8.00
7-39							
7-41							
7-62							
7-63	2017/12/31	2017	12	31	1.290322581	0	0.00
7-57	2017/11/8	2017	11	8	1.333333333	22	29.33
之江公寓5	2017/12/31	2017	12	31	1.290322581	0	0.00
4-07	2018/9/30	2018	9	30	1.333333333	0	0.00
4-09	2018/6/12	2018	6	12	1.333333333	18	24.00
7-37	2018/9/30	2018	9	30	1.333333333	0	0.00
7-38							
7-51							
7-51A	2018/9/30	2018	9	30	1.333333333	0	0.00
7-61	2017/11/30	2017	11	30	1.333333333	0	0.00
7-66							
7-27	2018/4/24	2018	4	24	1.333333333	6	8.00
7-18	2018/6/23	2018	6	23	1.333333333	7	9.33
7-17	2018/5/9	2018	5	9	1.290322581	22	28.39
7-58	2017/12/31	2017	12	31	1.290322581	0	0.00
7-47	2018/9/30	2018	9	30	1.333333333	0	0.00
7-50							
8-50							
8-51	2018/5/21	2018	5	21	1.290322581	10	12.90
7-46	2017/11/30	2017	11	30	1.333333333	0	0.00
8-12	2017/9/30	2017	9	30	1.333333333	0	0.00
7-28	2018/6/19	2018	6	19	1.333333333	11	14.67
7-29	2018/4/6	2018	4	6	1.333333333	24	32.00
7-30	2018/4/6	2018	4	6	1.333333333	24	32.00
7-20	2018/4/6	2018	4	6	1.333333333	24	32.00
7-53							
7-22	2017/11/30	2017	11	30	1.333333333	0	0.00
7-23							
8-58	2018/6/19	2018	6	19	1.333333333	11	14.67
7-15	2017/9/30	2017	9	30	1.333333333	0	0.00
8-05	2018/1/21	2018	1	21	1.290322581	10	12.90
8-28	2018/1/21	2018	1	21	1.290322581	10	12.90
7-48	2017/12/21	2017	12	21	1.290322581	10	12.90
7-25	2018/4/16	2018	4	16	1.333333333	14	18.67
7-26							
7-44	2017/11/7	2017	11	7	1.333333333	23	30.67
7-45	2017/11/30	2017	11	30	1.333333333	0	0.00
7-52							
6-01	2018/9/30	2018	9	30	1.333333333	0	0.00
7-31							
3-31							
8-42	2017/11/30	2017	11	30	1.333333333	0	0.00
8-10	2018/9/30	2018	9	30	1.333333333	0	0.00
9-02	2017/9/30	2017	9	30	1.333333333	0	0.00
8-66	2018/5/25	2018	5	25	1.290322581	6	7.74
8-08	2018/6/30	2018	6	30	1.333333333	0	0.00
8-41	2017/11/30	2017	11	30	1.333333333	0	0.00
8-48	2017/11/30	2017	11	30	1.333333333	0	0.00
8-46	2017/5/18	2017	5	18	1.290322581	13	16.77
8-47	2018/5/18	2018	5	18	1.290322581	13	16.77
8-36	2017/9/30	2017	9	30	1.333333333	0	0.00
8-43	2018/3/31	2018	3	31	1.290322581	0	0.00
8-68	2017/11/30	2017	11	30	1.333333333	0	0.00
8-69	2017/11/8	2017	11	8	1.333333333	22	29.33
8-32	2018/9/16	2018	9	16	1.333333333	14	18.67
7-21							
8-67	2017/12/31	2017	12	31	1.290322581	0	0.00
8-60							
8-61							
8-15	2018/9/30	2018	9	30	1.333333333	0	0.00
8-40	2018/10/15	2018	10	15	1.290322581	16	20.65
8-09	2018/6/5	2018	6	5	1.333333333	25	33.33
8-45	2019/1/19	2019	1	19	1.290322581	12	15.48
8-03	2018/8/31	2018	8	31	1.290322581	0	0.00
8-31	2018/10/6	2018	10	6	1.290322581	25	32.26
8-02	2017/9/30	2017	9	30	1.333333333	0	0.00
8-16							
3-25	2018/8/20	2018	8	20	1.290322581	11	14.19
9-66							
9-67							
9-68							
9-69							
8-18	2017/11/30	2017	11	30	1.333333333	0	0.00
之江公寓6	2018/11/18	2018	11	18	1.333333333	12	16.00
8-38	2018/3/13	2018	3	13	1.290322581	18	23.23
9-73	2018/9/30	2018	9	30	1.333333333	0	0.00
9-71							
8-14	2017/12/19	2017	12	19	1.290322581	12	15.48
9-70	2017/12/19	2017	12	19	1.290322581	12	15.48
9-72	2018/4/4	2018	4	4	1.333333333	26	34.67
9-76							
8-01	2017/11/30	2017	11	30	1.333333333	0	0.00
9-31							
9-74	2018/9/30	2018	9	30	1.333333333	0	0.00
9-10	2018/9/30	2018	9	30	1.333333333	0	0.00
9-57							
9-61							
9-09	2017/9/30	2017	9	30	1.333333333	0	0.00
9-01	2017/11/30	2017	11	30	1.333333333	0	0.00
9-58	2018/7/30	2018	7	30	1.290322581	1	1.29
9-39	2017/11/30	2017	11	30	1.333333333	0	0.00
9-27	2017/11/30	2017	11	30	1.333333333	0	0.00
9-07	2017/11/30	2017	11	30	1.333333333	0	0.00
9-08	2017/11/30	2017	11	30	1.333333333	0	0.00
9-28	2018/6/17	2018	6	17	1.333333333	13	17.33
8-13	2018/8/22	2018	8	22	1.290322581	9	11.61
9-38	2018/1/15	2018	1	15	1.290322581	16	20.65
2-23	2017/11/30	2017	11	30	1.333333333	0	0.00
8-17	2018/5/25	2018	5	25	1.290322581	6	7.74
9-45							
9-56							
9-59							
9-63							
9-03							
9-36							
9-53	2018/7/11	2018	7	11	1.290322581	20	25.81
9-05	2017/11/30	2017	11	30	1.333333333	0	0.00
9-35	2017/11/30	2017	11	30	1.333333333	0	0.00
9-62	2018/5/21	2018	5	21	1.290322581	10	12.90
8-04	2017/10/31	2017	10	31	1.290322581	0	0.00
9-34	2017/11/30	2017	11	30	1.333333333	0	0.00
9-26							
9-12	2018/9/30	2018	9	30	1.333333333	0	0.00
8-34	2018/9/30	2018	9	30	1.333333333	0	0.00
9-22	2017/11/30	2017	11	30	1.333333333	0	0.00
9-16	2018/9/30	2018	9	30	1.333333333	0	0.00
9-25	2018/10/13	2018	10	13	1.290322581	18	23.23
9-18							
1-62	2018/4/14	2018	4	14	1.333333333	16	21.33
1-63	2018/4/14	2018	4	14	1.333333333	16	21.33
9-13	2017/11/30	2017	11	30	1.333333333	0	0.00
9-14	2017/11/30	2017	11	30	1.333333333	0	0.00
9-23	2018/5/31	2018	5	31	1.290322581	0	0.00
9-44	2018/5/31	2018	5	31	1.290322581	0	0.00
9-19	2018/10/8	2018	10	8	1.290322581	23	29.68
9-11	2018/9/30	2018	9	30	1.333333333	0	0.00
9-75	2018/5/31	2018	5	31	1.290322581	0	0.00
9-21	2018/9/30	2018	9	30	1.333333333	0	0.00
9-40							
9-41							
1-65	2017/9/30	2017	9	30	1.333333333	0	0.00
1-66	2017/11/30	2017	11	30	1.333333333	0	0.00
9-15	2018/9/30	2018	9	30	1.333333333	0	0.00
1-38							
2-17							
3-06							
3-07							
3-10							
4-19							
5-06							
7-59							
8-06							
8-07							
8-11							
8-27							
9-06							
9-37							
9-78							
9-79							
8-33	2018/8/7	2018	8	7	1.290322581	24	30.97
