1C,每日抽查多名员工（包括驻场服务人员）的工作着装、形象和岗位纪律。,职业着装，无缺人少岗，发色自然色。,D,1,1,项目负责人,项目负责人
1C,巡查小区安全隐患点，内容：1.天台、女儿墙是否有搁置物；2.吊装绳是否完好且正常运行；3.排水口是否堵塞；4.易爬点防爬刺是否完好。,楼宇天面及女儿墙无搁置物，天台无易飘落物，吊装绳无攀爬风险，天面排水口无堵塞，防爬刺完好。,D,1,1,巡逻岗,巡逻岗
1C,防台准备：1.发布防台预警通知；2.及时整改违章建筑，消除危险源；3.检查相关应急设备是否可以正常使用。,提前24小时完成防灾检查与准备。,Y,501,730,巡逻岗,巡逻岗
1C,防台准备：1.发布防台预警通知；2.及时整改违章建筑，消除危险源；3.检查相关应急设备是否可以正常使用。,提前24小时完成防灾检查与准备。,Y,801,1030,巡逻岗,巡逻岗
1C,防涝准备：1.发布防涝预警通知；2.防洪沙袋是否就位；3.对排洪设施进行检查；4.提前通知历史涝点的物品清理和车辆转移。,根据气象台发布暴雨预警等级，1.发布黄色预警：雨中安排每1小时至少巡查1次防涝点；2.发布橙色预警：雨中安排每30分钟至少巡查1次防涝点；3.发布红色预警：雨中安排人员定点监控防涝点。,Y,401,630,巡逻岗,巡逻岗
1C,防涝准备：1.发布防涝预警通知；2.防洪沙袋是否就位；3.对排洪设施进行检查；4.提前通知历史涝点的物品清理和车辆转移。,根据气象台发布暴雨预警等级，1.发布黄色预警：雨中安排每1小时至少巡查1次防涝点；2.发布橙色预警：雨中安排每30分钟至少巡查1次防涝点；3.发布红色预警：雨中安排人员定点监控防涝点。,Y,701,930,巡逻岗,巡逻岗
1C,进行交接班，内容：1.清点物品数量并确认完好性，如有问题要说明；2.查阅各岗位交接班记录是否规范准确，确认签字。,100%了解接手任务内容，接手的设备完好无损。,D,1,1,监控岗,监控岗
1A,日常监控工作记录，内容：1.监察是否有可疑人员走动；2.注意可疑情况或特别事件的潜在发生，如有异常及时通知巡逻岗及领班处理，并记清晰规范记录。,1.定时记录，记录情况无空白；2.可疑情况100%呼叫队员去核查。,D,1,1,监控岗,监控岗
1A,消防主机运行状态记录，内容：1.有报警声及时派发任务给巡逻岗查看，即使是误报也要记录在案；2.如遇到真实警情，尽快通知上级主管，按演练流程执行任务。,定时记录，记录情况无空白，产生警报100%呼叫队员去核查，属误报记录在案，真实警报1分钟内通知到上级主管。,D,1,1,监控岗,监控岗
1A,监控设施设备维护：1.设备有故障或损坏的，及时上报保安主管；2.通过管家田螺向工程维修人员发布报修。,故障100%有报修；超过48小时未修好，上报保安责任人；超过一周未修好，上报项目负责人。,D,1,1,监控岗,监控岗
1B,下班前打扫岗位卫生：地面干净整洁，物品摆放有序。,下班前后30分钟内完成清洁及整理，现场无垃圾、无烟头、桌面无灰尘。,D,1,1,监控岗,监控岗
1C,组织队伍交接班，内容：1.清点物品数量并确认完好性，如有问题要说明；2.查阅各岗位交接班记录是否规范准确，确认签字。,100%了解接手任务内容，接手的设备完好无损。,D,1,1,车库岗,车库岗
1B,岗亭卫生保洁：1.岗亭内地面整洁，桌面物品摆放有序；2.岗亭周围无烟头、纸屑、果皮等垃圾。,物品摆放整齐有序，收费票据无缺失，工作记录本无缺失、无破损，地面干净整洁。,D,1,1,车库岗,车库岗
1B,每天下班前清理岗位卫生：清扫地面、清抹桌子、物品归位。,下班前后30分钟内完成清洁及整理，现场无垃圾、无烟头、桌面无灰尘。,D,1,1,车库岗,车库岗
1A,每天检查核对车辆进出情况：1.车辆进出时间；2.收费和发票派发情况，做到票帐相符。,票账相符，无多收、无少收、无漏收。,D,1,1,车库岗,车库岗
1A,车辆出入统计：1.可疑车辆出入要核查登记；2.对异常、问题车辆进行拍照、备注并上报。,记录登记无错漏。,D,1,1,车库岗,车库岗
1A,关于费用上交办法：1.财务下班前，将当天收到的费用上交给财务；2.财务下班后，按要求妥善管理收到的费用，并在第二天财务上班后立即交财务。,财务下班前30分钟内完成费用提交，交接账目清晰，账、钱、票三项相符。,D,1,1,车库岗,车库岗
1C,检查驻场人员的工作着装、形象和岗位纪律。,穿工作服，身上无异味。,D,1,1,保洁负责人,保洁负责人
1C,检查果皮箱、垃圾桶及绿化垃圾是否及时清理。,垃圾超过桶深2/3，需要立即清理，平时定期清理。,D,1,1,保洁负责人,保洁负责人
1C,巡查车库（包含自行车库）、商铺、公共道路及外围的清洁卫生情况,无垃圾、无积水、无异味。,D,1,1,保洁负责人,保洁负责人
1C,抽查单元楼卫生情况，内容：单元门、大堂、地面、玻璃、设施、墙面、电梯、天花、地毯等是否存在异味、杂物堆放、乱贴乱画等现象。,无垃圾，无积水、无明显油迹、无异味、无杂物堆放、无乱贴乱画、无鼠虫迹、无蜘蛛网，坐椅无灰尘。,D,1,1,保洁负责人,保洁负责人
1C,检查小区路面、路灯、标识标牌、石材、景观清洁效果是否符合。,无垃圾，无积水、无乱贴乱画、无蜘蛛网。,D,1,1,保洁负责人,保洁负责人
1C,检查公共卫生间：1.地面、墙面、门、坑位等清洁，有无冲洗；2.垃圾及时倾倒，有无异味。,1.地面墙面整洁卫生，无垃圾、无苍蝇、坑位无粪便遗留；2.垃圾桶、垃圾篓的垃圾量不超过2/3。,D,1,1,保洁负责人,保洁负责人
1C,检查人流量多的主要出入口卫生情况，是否有巡回保洁，保洁效果是否达标。,早晚高峰期每30分钟巡回保洁1次。,D,1,1,保洁负责人,保洁负责人
1C,检查电梯保洁效果，要求：门槽、轿厢内无垃圾，无明显锈迹，无异味,轿厢内无垃圾、无异味、墙面无污渍无锈迹、按键无污渍、无蜘蛛网。,W,1,7,保洁负责人,保洁负责人
1C,检查消防通道扶手、护栏、楼道开关门窗的清洁剂擦抹情况。,扶手无灰尘、护栏无污渍、楼道无垃圾，开关无污渍、门窗无灰尘、通道无积水无油污。,W,1,7,保洁负责人,保洁负责人
1C,检查园区垃圾桶清洗情况，垃圾房、垃圾车冲洗情况。,无异味、无苍蝇，地面无污水横流、无垃圾。,W,1,7,保洁负责人,保洁负责人
1B,冬季除雪：路面防结冰，乔木防雪压。,路面结冰及时处理，无积雪压坏绿化。,Y,101,301,保洁负责人,保洁负责人
1B,冬季除雪：路面防结冰，乔木防雪压。,路面结冰及时处理，无积雪压坏绿化。,Y,401,630,保洁负责人,保洁负责人
1B,冬季除雪：路面防结冰，乔木防雪压。,路面结冰及时处理，无积雪压坏绿化。,Y,701,930,保洁负责人,保洁负责人
1B,冬季除雪：路面防结冰，乔木防雪压。,路面结冰及时处理，无积雪压坏绿化。,Y,1001,1231,保洁负责人,保洁负责人
1B,组织浇水：只能早上傍晚浇、确保浇透而又不浪费。,1.雨天不浇，目测土壤含水量少于30%需要浇水；2.浇水浇根部，草本要浇透至土下约20厘米，乔木根据树根深度浇至50-100厘米度。,D,1,1,绿化负责人,绿化负责人
